mode,variant,scope,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std,n_seeds
retrained-wf float32,clean,full,0.9847775175644028,0.0,0.9166666666666666,0.0,0.8730158730158731,0.0,0.8943089430894309,0.0,0.886418499475967,0.0,5
retrained-wf int8,clean,full,0.9098360655737705,0.0,0.45,0.0,1.0,0.0,0.6206896551724138,0.0,0.6373340491967198,0.0,5
retrained-wf float32,noise_snr30db,full,0.9852459016393442,0.0010473386311474337,0.9737891737891738,0.009887209796372675,0.8222222222222222,0.013280317881493236,0.8915347454477889,0.008134351869726802,0.8873640303644539,0.008289926054216938,5
retrained-wf int8,noise_snr30db,full,0.9065573770491803,0.0005236693155737084,0.4411799468137496,0.0013874941650988588,1.0,0.0,0.6122472176178072,0.0013343337208854785,0.6298182487053314,0.00118773145450058,5
retrained-wf float32,noise_snr20db,full,0.9866510538641686,0.0017758490501291655,0.9642115389483811,0.017464524529660262,0.8507936507936508,0.01419725699999868,0.9038828082297673,0.012674950283189558,0.8988111240274492,0.013698877362590393,5
retrained-wf int8,noise_snr20db,full,0.8946135831381733,0.0014341274840651017,0.41178595459857636,0.003318149365069475,1.0,0.0,0.5833484071952568,0.0033231228049557383,0.6040943991996895,0.0029591348466467856,5
retrained-wf float32,noise_snr10db,full,0.9915690866510538,0.0009796955814216286,0.9574720576504226,0.008400482829273874,0.9269841269841269,0.014197256999998673,0.9419046007403491,0.007074325769332351,0.9375478710572887,0.007470173436358733,5
retrained-wf int8,noise_snr10db,full,0.8646370023419203,0.00465447468720184,0.35288273958636346,0.007817935390758942,1.0,0.0,0.5216357398432467,0.008552587790314871,0.5489034558076109,0.007699270462051612,5
retrained-wf float32,noise_snr5db,full,0.9943793911007026,0.001924083925662163,0.9512394668371899,0.02776074176303415,0.9746031746031745,0.00869400884928832,0.9625387707500304,0.012208927410527695,0.9597253152921738,0.012989213705822211,5
retrained-wf int8,noise_snr5db,full,0.8440281030444965,0.0034538363474830836,0.32115925837382864,0.004850942284645116,1.0,0.0,0.48616165438273234,0.005552014881946679,0.516789917380237,0.005059390466993697,5
retrained-wf float32,clean,test,0.9766081871345029,0.0,0.909090909090909,0.0,0.7692307692307693,0.0,0.8333333333333334,0.0,0.824161727655891,0.0,5
retrained-wf int8,clean,test,0.9181286549707602,0.0,0.4814814814814815,0.0,1.0,0.0,0.65,0.0,0.6624338196384933,0.0,5
retrained-wf float32,noise_snr30db,test,0.9719298245614034,0.0026152841842102532,1.0,0.0,0.6307692307692309,0.03440104580768907,0.7731601731601732,0.0251678646818159,0.7822141053779982,0.022081036657662766,5
retrained-wf int8,noise_snr30db,test,0.9157894736842106,0.005230568368420548,0.47484035759897825,0.014850004448274444,1.0,0.0,0.6438095238095238,0.013842325574998699,0.65689284541049,0.012389995035389954,5
retrained-wf float32,noise_snr20db,test,0.9730994152046784,0.005230568368420555,1.0,0.0,0.6461538461538462,0.06880209161537813,0.7832900432900434,0.05255204429058838,0.7915463828259129,0.04522763974530937,5
retrained-wf int8,noise_snr20db,test,0.8959064327485379,0.004892748693181729,0.42232526881720434,0.011384376864537913,1.0,0.0,0.593779657035471,0.011279624487560385,0.6121386100645532,0.01008659285420215,5
retrained-wf float32,noise_snr10db,test,0.9859649122807017,0.0032030558918430953,0.9679487179487178,0.04394650384872467,0.8461538461538461,0.05439282932204211,0.9011950947603122,0.02453178891388538,0.8970316310427883,0.024619289631925032,5
retrained-wf int8,noise_snr10db,test,0.8573099415204679,0.013462999337100946,0.3486928104575163,0.022332483089241673,1.0,0.0,0.5167607468519323,0.024299335911892286,0.5428792876468295,0.021975078879502768,5
retrained-wf float32,noise_snr5db,test,0.9964912280701753,0.005230568368420563,0.9846153846153847,0.03440104580768905,0.9692307692307693,0.04213250442347429,0.9766153846153847,0.03457946854667394,0.9748981361230966,0.037303064024953335,5
retrained-wf int8,noise_snr5db,test,0.8385964912280702,0.009785497386363445,0.32062771790508604,0.013068120932804732,1.0,0.0,0.48544973544973546,0.015023567052381673,0.5143712121839152,0.013795586643154983,5
