mode,variant,scope,acc,acc_std,prec,prec_std,rec,rec_std,f1,f1_std,mcc,mcc_std,n
retrained float32,clean,full,0.985480093676815,0.005323255931688446,0.8943477552578786,0.06433194276853223,0.9238095238095237,0.1081425049522206,0.9015516023895007,0.043471131108495285,0.8980994208237786,0.04183785564255756,25
retrained float32,clean,test,0.9859649122807016,0.013920913116067942,0.9703296703296703,0.0371302837595481,0.8461538461538463,0.1986145305747394,0.8875237666816613,0.13147279391455102,0.8915205258628001,0.11688452034263007,25
retrained float32,noise_snr10db,full,0.8635128805620609,0.032314894751771885,0.2989674639759335,0.0982407330676527,0.5879365079365079,0.2487256510364323,0.38285296308509886,0.11218256774790597,0.34854910120820115,0.14369523478968946,25
retrained float32,noise_snr10db,test,0.8835087719298245,0.019825625161935454,0.361947166993289,0.06479903239934647,0.6553846153846153,0.22658601651400387,0.45181717154305917,0.078101448770077,0.42511110223685855,0.10573234060185228,25
retrained float32,noise_snr20db,full,0.9214988290398126,0.02470485502056637,0.508978637168823,0.12595003493940032,0.8780952380952382,0.1366770209131272,0.6296871707096243,0.08332112891561472,0.6270382451007647,0.09001947849879369,25
retrained float32,noise_snr20db,test,0.9319298245614036,0.017122956145027506,0.5607544434208049,0.10994780228983367,0.8492307692307693,0.1824120657623837,0.6529829437747058,0.06418834483969683,0.6482216222703774,0.0734423655577371,25
retrained float32,noise_snr30db,full,0.9780327868852459,0.009651724138170911,0.8158459916717483,0.10670853309563885,0.9403174603174602,0.09110060223670947,0.8649246697872619,0.051222657206711916,0.8608278676038781,0.0530173326172764,25
retrained float32,noise_snr30db,test,0.9815204678362573,0.013258226957607793,0.8866499336576736,0.09734215417523036,0.8984615384615384,0.20797701283993503,0.8689550456601274,0.11743476634232271,0.8723943345760765,0.10600555457722806,25
retrained float32,noise_snr5db,full,0.8541451990632318,0.02814992511826584,0.17783195035225557,0.10221953136305768,0.31746031746031744,0.29088501602970285,0.21781319193636853,0.14806344463220075,0.15857741984934864,0.17967530324389278,25
retrained float32,noise_snr5db,test,0.8732163742690058,0.02065633060191128,0.2284054825173612,0.11698690009794117,0.33230769230769225,0.26988930450536663,0.257013410208274,0.1545933234313204,0.20349404654483266,0.17634716801637804,25
retrained int8,clean,full,0.9704918032786886,0.01682342861019933,0.7416395032611451,0.12481858677811646,0.9841269841269841,0.017746571249998292,0.8390232952930795,0.07591515005437811,0.8374763939516946,0.07184964787992242,25
retrained int8,clean,test,0.9789473684210526,0.016711918323082064,0.8367257742257742,0.14108550961989177,0.953846153846154,0.038461538461538394,0.8822749357921772,0.07554093788084626,0.8787725072723543,0.07270787625065955,25
retrained int8,noise_snr10db,full,0.8433723653395785,0.01731635942439145,0.26262393500988046,0.057549034049713996,0.646984126984127,0.21837562746799755,0.3715111321697981,0.09179140903872487,0.3415558135838239,0.12451852085242893,25
retrained int8,noise_snr10db,test,0.8645614035087719,0.008386598348654547,0.32348931525631536,0.02507628610395446,0.7323076923076922,0.17073919809832303,0.44585245917182603,0.052365157230301176,0.42560202190162216,0.07903510654689763,25
retrained int8,noise_snr20db,full,0.9037470725995317,0.015064028489775921,0.4301557920563869,0.0463238753136807,0.92,0.10106512622051816,0.5854212730933245,0.05926905542956761,0.5896585343163689,0.07164304649467734,25
retrained int8,noise_snr20db,test,0.9176608187134502,0.016959064327485382,0.48126845356320613,0.056694996659394134,0.9476923076923077,0.09347551863363174,0.6375327802660997,0.06721389056815916,0.6409785202950132,0.0770133032874918,25
retrained int8,noise_snr30db,full,0.9511943793911007,0.025776022943106467,0.6301743380468593,0.1347983581819447,0.9796825396825397,0.026528997114754913,0.7597782806132729,0.10336745382625634,0.7610982895952,0.09846509364443685,25
retrained int8,noise_snr30db,test,0.9604678362573099,0.025281831954640135,0.6898801058421197,0.1486662122293617,0.9938461538461538,0.02129903554594374,0.8057197553167447,0.10556012645819464,0.8065070110311193,0.10076656002394203,25
retrained int8,noise_snr5db,full,0.8356908665105387,0.021364595676988368,0.1660987603767644,0.08630588351826375,0.3663492063492063,0.2953589671216056,0.22432275150332653,0.13771733328318084,0.16330793077154498,0.17456593204875473,25
retrained int8,noise_snr5db,test,0.8530994152046784,0.012669065738223744,0.20705918016787095,0.08149364491883315,0.39692307692307693,0.27348290514817203,0.265705107415934,0.13180643837559125,0.2097242043933197,0.15985192912771476,25
