mode,variant,scope,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std,n_seeds
retrained float32,clean,full,0.9847775175644028,0.0,0.8378378378378379,0.0,0.984126984126984,0.0,0.9051094890510949,0.0,0.9003255030659563,0.0,5
retrained int8,clean,full,0.9824355971896954,0.0,0.8157894736842104,0.0,0.984126984126984,0.0,0.8920863309352518,0.0,0.8872200896442111,0.0,5
retrained float32,noise_snr30db,full,0.9782201405152225,0.0015710079467211422,0.7722222222222223,0.012422599874998885,1.0,0.0,0.8714285714285713,0.007985957062499235,0.868350355186211,0.007769326696186524,5
retrained int8,noise_snr30db,full,0.9733021077283371,0.0022523868924673625,0.7345635553290012,0.01660830101201506,1.0,0.0,0.8468879439933643,0.01099992049003251,0.8445903683866106,0.010589451550597359,5
retrained float32,noise_snr20db,full,0.9166276346604215,0.0030309552940385926,0.4695903972557203,0.009191791366216274,1.0,0.0,0.6390341844578714,0.008471467330426273,0.6536816471417828,0.007557185138552518,5
retrained int8,noise_snr20db,full,0.9105386416861826,0.0013351000293900979,0.45196101398252353,0.0036895953159143194,1.0,0.0,0.6225454276225963,0.003502297264908772,0.6389867838009632,0.003118759783877715,5
retrained float32,noise_snr10db,full,0.8288056206088994,0.004785202984005285,0.25750902136613474,0.012329740202938904,0.7015873015873015,0.04108628287474532,0.37671157400769884,0.018862116810705192,0.3525583057011514,0.025600732225370244,5
retrained int8,noise_snr10db,full,0.8196721311475411,0.005236693155737213,0.24912942684147246,0.01244280236879175,0.7174603174603174,0.04108628287474539,0.3698174030421801,0.018990089221708705,0.34844352158215075,0.026016294847308597,5
retrained float32,noise_snr5db,full,0.8096018735362998,0.008345915541548246,0.13735601360539512,0.010712868491885385,0.2984126984126984,0.01328031788149327,0.18805100382199186,0.012310679139332929,0.10608191072951023,0.01525782038009031,5
retrained int8,noise_snr5db,full,0.7960187353629976,0.006540627655161097,0.12546879435366085,0.009122104324793765,0.2952380952380952,0.01809802262062124,0.1760693689786048,0.01197342450404443,0.0905571348360063,0.015153805663933206,5
retrained float32,clean,test,0.9883040935672515,0.0,0.9230769230769231,0.0,0.9230769230769231,0.0,0.9230769230769231,0.0,0.9167478091528725,0.0,5
retrained int8,clean,test,0.9883040935672515,0.0,0.9230769230769231,0.0,0.9230769230769231,0.0,0.9230769230769231,0.0,0.9167478091528725,0.0,5
retrained float32,noise_snr30db,test,0.9883040935672515,0.0,0.8666666666666668,0.0,1.0,0.0,0.9285714285714286,0.0,0.9250384870542661,0.0,5
retrained int8,noise_snr30db,test,0.9859649122807017,0.003203055891843123,0.845,0.029668305198196514,1.0,0.0,0.9157635467980295,0.017537914402874777,0.9121388235713235,0.017663591684583143,5
retrained float32,noise_snr20db,test,0.9380116959064327,0.006667692544439409,0.5518919631093544,0.027046783468515304,1.0,0.0,0.7109390593601119,0.022339222451631332,0.717420620582453,0.020309101023796697,5
retrained int8,noise_snr20db,test,0.9298245614035088,0.004135127375359943,0.5203333333333333,0.014738460646289432,1.0,0.0,0.6844001896633476,0.012743309401268178,0.6933695807176956,0.011495278539572794,5
retrained float32,noise_snr10db,test,0.8678362573099415,0.0066676925444394105,0.34223164627363734,0.01636655386515633,0.8,0.04213250442347429,0.47927380113426626,0.022139735353700177,0.4668852741956984,0.02792272054615697,5
retrained int8,noise_snr10db,test,0.8608187134502924,0.0026152841842102532,0.33111559139784946,0.008876311928847665,0.8153846153846154,0.042132504423474285,0.4709003074220465,0.015547566035766845,0.46193988164239197,0.022446930704192816,5
retrained float32,noise_snr5db,test,0.854970760233918,0.01046113673684112,0.23808612440191385,0.024899583132515953,0.4153846153846154,0.08770580193070292,0.30128525341939977,0.03865852951895975,0.23897270279496144,0.04627902137268898,5
retrained int8,noise_snr5db,test,0.8432748538011696,0.004892748693181761,0.21326268683839897,0.02143414859765204,0.4,0.08426500884694862,0.2775461175461175,0.03729537133467175,0.21151768236257568,0.04593305421449866,5
