mode,variant,scope,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std,n_seeds
retrained-wf2 float32,clean,full,0.9941451990632318,0.0,0.9264705882352942,0.0,1.0,0.0,0.9618320610687023,0.0,0.9594864581662822,0.0,5
retrained-wf2 int8,clean,full,0.9941451990632318,0.0,0.9264705882352942,0.0,1.0,0.0,0.9618320610687023,0.0,0.9594864581662822,0.0,5
retrained-wf2 float32,noise_snr30db,full,0.9957845433255269,0.0017758490501291865,0.9463402444789626,0.02164521489546297,1.0,0.0,0.9723289782736348,0.011403757272844666,0.97054149130367,0.012024573747757186,5
retrained-wf2 int8,noise_snr30db,full,0.9955503512880561,0.0015267452939584667,0.9434031815418997,0.018535634375601615,1.0,0.0,0.9708028154829371,0.009784225514557739,0.9689223214161167,0.010308091413774154,5
retrained-wf2 float32,noise_snr20db,full,0.9964871194379391,0.0014341274840650943,0.9808962986745906,0.013119705147043812,0.9714285714285713,0.013280317881493262,0.976074771298749,0.009801932614454077,0.9742302543959417,0.010559617985047804,5
retrained-wf2 int8,noise_snr20db,full,0.9969555035128806,0.0013351000293900898,0.9721529120521056,0.016395354684102612,0.9873015873015873,0.013280317881493291,0.9795494308850928,0.008891277381886071,0.9780088482578728,0.00955566007766025,5
retrained-wf2 float32,noise_snr10db,full,0.9962529274004683,0.0009796955814216392,1.0,0.0,0.9492063492063492,0.013280317881493236,0.9739033418890507,0.006976667225108542,0.9722916537336518,0.007308066785047737,5
retrained-wf2 int8,noise_snr10db,full,0.9964871194379391,0.0011709601873536313,0.9967741935483871,0.007213122508063829,0.9555555555555555,0.017388017698576702,0.9756336329984135,0.008331444159616183,0.9740495010971133,0.0087309237462827,5
retrained-wf2 float32,noise_snr5db,full,0.9903981264637002,0.003142015893442346,1.0,0.0,0.8698412698412697,0.04259177099999597,0.9299412832283549,0.024652839882358144,0.9276643048424246,0.024397831499138625,5
retrained-wf2 int8,noise_snr5db,full,0.9911007025761125,0.0030534905879169173,1.0,0.0,0.8793650793650792,0.041391761302873975,0.9353981610188897,0.023424907726283733,0.9330969170418809,0.023483084871140914,5
retrained-wf2 float32,clean,test,0.9941520467836258,0.0,0.9285714285714286,0.0,1.0,0.0,0.962962962962963,0.0,0.9605698278695733,0.0,5
retrained-wf2 int8,clean,test,0.9941520467836258,0.0,0.9285714285714286,0.0,1.0,0.0,0.962962962962963,0.0,0.9605698278695733,0.0,5
retrained-wf2 float32,noise_snr30db,test,0.9964912280701753,0.0032030558918430953,0.9571428571428571,0.039123039821797545,1.0,0.0,0.9777777777777776,0.020286020648339505,0.976341896721744,0.02159679472214621,5
retrained-wf2 int8,noise_snr30db,test,0.9964912280701753,0.0032030558918430953,0.9571428571428571,0.039123039821797545,1.0,0.0,0.9777777777777776,0.020286020648339505,0.976341896721744,0.02159679472214621,5
retrained-wf2 float32,noise_snr20db,test,0.9976608187134502,0.003203055891843106,0.9857142857142858,0.031943828249997,0.9846153846153847,0.03440104580768905,0.9845925925925926,0.021123453182385288,0.9836625398664367,0.02239330462650452,5
retrained-wf2 int8,noise_snr20db,test,0.9976608187134502,0.003203055891843106,0.9857142857142858,0.031943828249997,0.9846153846153847,0.03440104580768905,0.9845925925925926,0.021123453182385288,0.9836625398664367,0.02239330462650452,5
retrained-wf2 float32,noise_snr10db,test,0.9941520467836258,0.004135127375359879,1.0,0.0,0.9230769230769231,0.05439282932204215,0.9593333333333334,0.029476921292578857,0.957465516453308,0.03037297566612607,5
retrained-wf2 int8,noise_snr10db,test,0.9976608187134502,0.003203055891843099,1.0,0.0,0.9692307692307693,0.042132504423474285,0.984,0.021908902300206656,0.983097148585044,0.023145182515323763,5
retrained-wf2 float32,noise_snr5db,test,0.983625730994152,0.004892748693181744,1.0,0.0,0.7846153846153847,0.06435846357954426,0.878129117259552,0.04095926286334267,0.8775216589379063,0.03853817949339202,5
retrained-wf2 int8,noise_snr5db,test,0.9859649122807017,0.005230568368420577,1.0,0.0,0.8153846153846154,0.06880209161537813,0.8970724637681158,0.040662493200578895,0.8956773161792503,0.03984622702736862,5
