mode,variant,split,recording_id,class_id,score,pred
PC float32,noise_snr0db,test,0003_0397s_shot_019_ch1,1,0.9918845295906067,1
PC float32,noise_snr0db,test,0005_0580s_shot_006_ch1,1,0.9999946355819702,1
PC float32,noise_snr0db,test,0005_0607s_shot_150_ch1,1,0.9976772665977478,1
PC float32,noise_snr0db,test,0005_0631s_shot_173_ch1,1,0.9904567003250122,1
PC float32,noise_snr0db,test,0005_0632s_shot_176_ch1,1,0.9997949004173279,1
PC float32,noise_snr0db,test,0005_0662s_shot_201_ch1,1,0.9996084570884705,1
PC float32,noise_snr0db,test,0005_0685s_shot_220_ch1,1,0.9847292304039001,1
PC float32,noise_snr0db,test,0005_0700s_shot_037_ch1,1,0.9989774227142334,1
PC float32,noise_snr0db,test,0011_0226s_shot_011_ch1,1,0.28706756234169006,0
PC float32,noise_snr0db,test,0011_0333s_shot_018_ch1,1,0.3172442317008972,0
PC float32,noise_snr0db,test,171236__alukahn__gunshot2_uid-fcn21d,0,9.963201270946076e-12,0
PC float32,noise_snr0db,test,371041__morganpurkis__single-gunshot-3_uid-1k053k,0,1.0357125747317841e-11,0
PC float32,noise_snr0db,test,384687__morganpurkis__single-gunshot-42_uid-u9d6r1,0,9.238057266044725e-15,0
PC float32,noise_snr0db,test,384689__dobroide__20170318gunshotparadiso_uid-kwsehz,0,6.2155865335301544e-24,0
PC float32,noise_snr0db,test,384689__dobroide__20170318gunshotparadiso_uid-pjl13d,0,2.489761055744083e-13,0
PC float32,noise_snr0db,test,402008__eardeer__gunshot__high_3_uid-4j4q67,0,3.911774679164131e-22,0
PC float32,noise_snr0db,test,402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-6aezru,0,1.846422625902273e-24,0
PC float32,noise_snr0db,test,402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-byjlki,0,3.2050891644696925e-26,0
PC float32,noise_snr0db,test,402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-garl1l,0,1.6492683391019485e-23,0
PC float32,noise_snr0db,test,402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-l3ibfo,0,4.154203649690134e-25,0
PC float32,noise_snr0db,test,402791__acidsnowflake__ak47-and-various-other-gunshots-at-indoor-shooting-range_uid-qe3eyz,0,8.125065794467041e-26,0
PC float32,noise_snr0db,test,405132__fstagi__gunshots_uid-xcyi0z,0,4.624515606575558e-16,0
PC float32,noise_snr0db,test,51470__smcameron__synthetic_gunshot_2_uid-vatpwv,0,1.0443835032902804e-11,0
PC float32,noise_snr0db,test,518181__bolkmar__fx-gunshot_uid-al1o0i,0,2.2851843538924856e-15,0
PC float32,noise_snr0db,test,518181__bolkmar__fx-gunshot_uid-es96l9,0,9.691859759186627e-07,0
PC float32,noise_snr0db,test,518181__bolkmar__fx-gunshot_uid-j3vsmz,0,2.298089561529604e-13,0
PC float32,noise_snr0db,test,519623__nathanchurchyard__gunshots_uid-kvxx3q,0,2.1524188681398826e-11,0
