mode,variant,scope,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std,n_seeds
retrained-wf2 float32,clean,full,0.9941451990632318,0.0,0.9264705882352942,0.0,1.0,0.0,0.9618320610687023,0.0,0.9594864581662822,0.0,5
retrained-wf2 int8,clean,full,0.9941451990632318,0.0,0.9264705882352942,0.0,1.0,0.0,0.9618320610687023,0.0,0.9594864581662822,0.0,5
retrained-wf2 float32,noise_snr30db,full,0.9941451990632318,0.0,0.9264705882352942,0.0,1.0,0.0,0.9618320610687023,0.0,0.9594864581662822,0.0,5
retrained-wf2 int8,noise_snr30db,full,0.9941451990632318,0.0,0.9264705882352942,0.0,1.0,0.0,0.9618320610687023,0.0,0.9594864581662822,0.0,5
retrained-wf2 float32,noise_snr20db,full,0.9943793911007026,0.0005236693155737291,0.9292361720807726,0.006184033475965185,1.0,0.0,0.9633118027011157,0.003308802879212824,0.9610361640627261,0.0034652477295805516,5
retrained-wf2 int8,noise_snr20db,full,0.9943793911007026,0.0005236693155737291,0.9292361720807726,0.006184033475965185,1.0,0.0,0.9633118027011157,0.003308802879212824,0.9610361640627261,0.0034652477295805516,5
retrained-wf2 float32,noise_snr10db,full,0.9967213114754099,0.001526745293958484,0.9577496477403195,0.01910547684330203,1.0,0.0,0.9783413417520037,0.009937018798190684,0.9768806136530495,0.010538151242770142,5
retrained-wf2 int8,noise_snr10db,full,0.9960187353629977,0.0013351000293901011,0.9490181548039318,0.016233275045074123,1.0,0.0,0.973785240478499,0.008562643149479706,0.9720558151490353,0.009024002303348702,5
retrained-wf2 float32,noise_snr5db,full,0.9985948477751757,0.0005236693155737291,0.9844711538461539,0.01087936260519274,0.9968253968253968,0.007098628499999361,0.9905505905511811,0.0034526910643585323,0.9898486421831703,0.003689269725400868,5
retrained-wf2 int8,noise_snr5db,full,0.9985948477751757,0.0005236693155737291,0.9844711538461539,0.01087936260519274,0.9968253968253968,0.007098628499999361,0.9905505905511811,0.0034526910643585323,0.9898486421831703,0.003689269725400868,5
retrained-wf2 float32,clean,test,0.9941520467836258,0.0,0.9285714285714286,0.0,1.0,0.0,0.962962962962963,0.0,0.9605698278695733,0.0,5
retrained-wf2 int8,clean,test,0.9941520467836258,0.0,0.9285714285714286,0.0,1.0,0.0,0.962962962962963,0.0,0.9605698278695733,0.0,5
retrained-wf2 float32,noise_snr30db,test,0.9941520467836258,0.0,0.9285714285714286,0.0,1.0,0.0,0.962962962962963,0.0,0.9605698278695733,0.0,5
retrained-wf2 int8,noise_snr30db,test,0.9941520467836258,0.0,0.9285714285714286,0.0,1.0,0.0,0.962962962962963,0.0,0.9605698278695733,0.0,5
retrained-wf2 float32,noise_snr20db,test,0.9941520467836258,0.0,0.9285714285714286,0.0,1.0,0.0,0.962962962962963,0.0,0.9605698278695733,0.0,5
retrained-wf2 int8,noise_snr20db,test,0.9941520467836258,0.0,0.9285714285714286,0.0,1.0,0.0,0.962962962962963,0.0,0.9605698278695733,0.0,5
retrained-wf2 float32,noise_snr10db,test,0.9953216374269005,0.0026152841842103174,0.9428571428571428,0.031943828249996996,1.0,0.0,0.9703703703703702,0.016563466499998465,0.9684558622956587,0.01763370904963033,5
retrained-wf2 int8,noise_snr10db,test,0.9953216374269005,0.0026152841842103174,0.9428571428571428,0.031943828249996996,1.0,0.0,0.9703703703703702,0.016563466499998465,0.9684558622956587,0.01763370904963033,5
retrained-wf2 float32,noise_snr5db,test,0.9988304093567251,0.002615284184210342,0.9857142857142858,0.031943828249997,1.0,0.0,0.9925925925925926,0.0165634664999985,0.9921139655739146,0.01763370904963035,5
retrained-wf2 int8,noise_snr5db,test,0.9988304093567251,0.002615284184210342,0.9857142857142858,0.031943828249997,1.0,0.0,0.9925925925925926,0.0165634664999985,0.9921139655739146,0.01763370904963035,5
