mode,snr_db,accuracy,precision,recall,f1,mcc,samples
PC float32,clean,0.9940476190476191,0.9090909090909091,1.0,0.9523809523809523,0.9504405132147693,168
PC int8,clean,0.9821428571428571,0.7692307692307693,1.0,0.8695652173913043,0.8686916148517432,168
PC float32,30 dB,0.9940476190476191,0.9090909090909091,1.0,0.9523809523809523,0.9504405132147693,168
PC int8,30 dB,0.9821428571428571,0.7692307692307693,1.0,0.8695652173913043,0.8686916148517432,168
PC float32,20 dB,0.9583333333333334,0.5882352941176471,1.0,0.7407407407407407,0.7497827930696469,168
PC int8,20 dB,0.9047619047619048,0.38461538461538464,1.0,0.5555555555555556,0.5879345127109069,168
PC float32,10 dB,0.8869047619047619,0.3333333333333333,0.9,0.4864864864864865,0.5064092314745026,168
PC int8,10 dB,0.8154761904761905,0.23076923076923078,0.9,0.3673469387755102,0.397957922291067,168
PC float32,5 dB,0.8988095238095238,0.23076923076923078,0.3,0.2608695652173913,0.20960687997067867,168
PC int8,5 dB,0.8571428571428571,0.15,0.3,0.2,0.14057211677172884,168
