mode,variant,seed,scope,n,accuracy,precision,recall,f1,mcc
retrained-wf float32,clean,42,full,854,0.9847775175644028,0.9166666666666666,0.873015873015873,0.8943089430894309,0.886418499475967
retrained-wf int8,clean,42,full,854,0.9098360655737705,0.45,1.0,0.6206896551724138,0.6373340491967198
retrained-wf float32,noise_snr30db,42,full,854,0.9871194379391101,0.9814814814814815,0.8412698412698413,0.905982905982906,0.9021917140637609
retrained-wf int8,noise_snr30db,42,full,854,0.9074941451990632,0.44366197183098594,1.0,0.6146341463414634,0.6319429273223539
retrained-wf float32,noise_snr20db,42,full,854,0.9894613583138173,0.9821428571428571,0.873015873015873,0.9243697478991597,0.9205679181006344
retrained-wf int8,noise_snr20db,42,full,854,0.8946135831381733,0.4117647058823529,1.0,0.5833333333333334,0.6040812091398098
retrained-wf float32,noise_snr10db,42,full,854,0.9918032786885246,0.9516129032258065,0.9365079365079365,0.944,0.9396133257025991
retrained-wf int8,noise_snr10db,42,full,854,0.8618266978922716,0.34806629834254144,1.0,0.5163934426229508,0.544189650031753
retrained-wf float32,noise_snr5db,42,full,854,0.9953161592505855,0.9682539682539683,0.9682539682539683,0.9682539682539683,0.9657255232476472
retrained-wf int8,noise_snr5db,42,full,854,0.84192037470726,0.3181818181818182,1.0,0.4827586206896552,0.5136902911338201
retrained-wf float32,clean,42,test,171,0.9766081871345029,0.9090909090909091,0.7692307692307693,0.8333333333333334,0.8241617276558911
retrained-wf int8,clean,42,test,171,0.9181286549707602,0.48148148148148145,1.0,0.65,0.6624338196384933
retrained-wf float32,noise_snr30db,42,test,171,0.9766081871345029,1.0,0.6923076923076923,0.8181818181818182,0.8217138645621571
retrained-wf int8,noise_snr30db,42,test,171,0.9181286549707602,0.48148148148148145,1.0,0.65,0.6624338196384933
retrained-wf float32,noise_snr20db,42,test,171,0.9766081871345029,1.0,0.6923076923076923,0.8181818181818182,0.8217138645621571
retrained-wf int8,noise_snr20db,42,test,171,0.8947368421052632,0.41935483870967744,1.0,0.5909090909090909,0.6095738157363387
retrained-wf float32,noise_snr10db,42,test,171,0.9883040935672515,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9167478091528725
retrained-wf int8,noise_snr10db,42,test,171,0.847953216374269,0.3333333333333333,1.0,0.5,0.5277130021690084
retrained-wf float32,noise_snr5db,42,test,171,0.9941520467836257,1.0,0.9230769230769231,0.96,0.9577428714626101
retrained-wf int8,noise_snr5db,42,test,171,0.847953216374269,0.3333333333333333,1.0,0.5,0.5277130021690084
retrained-wf float32,clean,43,full,854,0.9847775175644028,0.9166666666666666,0.873015873015873,0.8943089430894309,0.886418499475967
retrained-wf int8,clean,43,full,854,0.9098360655737705,0.45,1.0,0.6206896551724138,0.6373340491967198
retrained-wf float32,noise_snr30db,43,full,854,0.9847775175644028,0.9807692307692307,0.8095238095238095,0.8869565217391304,0.8835284227278309
retrained-wf int8,noise_snr30db,43,full,854,0.9063231850117096,0.4405594405594406,1.0,0.6116504854368932,0.6292870790510758
retrained-wf float32,noise_snr20db,43,full,854,0.9871194379391101,0.9814814814814815,0.8412698412698413,0.905982905982906,0.9021917140637609
retrained-wf int8,noise_snr20db,43,full,854,0.8934426229508197,0.4090909090909091,1.0,0.5806451612903226,0.6016870890901646
retrained-wf float32,noise_snr10db,43,full,854,0.9929742388758782,0.9672131147540983,0.9365079365079365,0.9516129032258065,0.9479694580187479
retrained-wf int8,noise_snr10db,43,full,854,0.8583138173302107,0.3423913043478261,1.0,0.5101214574898786,0.5385307702767049
retrained-wf float32,noise_snr5db,43,full,854,0.9964871194379391,0.9838709677419355,0.9682539682539683,0.976,0.9741412852615501
retrained-wf int8,noise_snr5db,43,full,854,0.8477751756440282,0.32642487046632124,1.0,0.4921875,0.5222808571810748
retrained-wf float32,clean,43,test,171,0.9766081871345029,0.9090909090909091,0.7692307692307693,0.8333333333333334,0.8241617276558911
retrained-wf int8,clean,43,test,171,0.9181286549707602,0.48148148148148145,1.0,0.65,0.6624338196384933
retrained-wf float32,noise_snr30db,43,test,171,0.9707602339181286,1.0,0.6153846153846154,0.7619047619047619,0.7723391655819584
retrained-wf int8,noise_snr30db,43,test,171,0.9181286549707602,0.48148148148148145,1.0,0.65,0.6624338196384933
retrained-wf float32,noise_snr20db,43,test,171,0.9766081871345029,1.0,0.6923076923076923,0.8181818181818182,0.8217138645621571
retrained-wf int8,noise_snr20db,43,test,171,0.9005847953216374,0.43333333333333335,1.0,0.6046511627906976,0.6218591968922657
retrained-wf float32,noise_snr10db,43,test,171,0.9883040935672515,1.0,0.8461538461538461,0.9166666666666666,0.91409896787871
retrained-wf int8,noise_snr10db,43,test,171,0.847953216374269,0.3333333333333333,1.0,0.5,0.5277130021690084
retrained-wf float32,noise_snr5db,43,test,171,1.0,1.0,1.0,1.0,1.0
retrained-wf int8,noise_snr5db,43,test,171,0.847953216374269,0.3333333333333333,1.0,0.5,0.5277130021690084
