mode,snr_db,accuracy,precision,recall,f1,mcc,samples
PC float32,clean,1.0,1.0,1.0,1.0,1.0,171
PC int8,clean,0.9941520467836257,0.9285714285714286,1.0,0.9629629629629629,0.9605698278695733,171
PC float32,15 dB,1.0,1.0,1.0,1.0,1.0,171
PC int8,15 dB,1.0,1.0,1.0,1.0,1.0,171
PC float32,0 dB,0.9883040935672515,1.0,0.8461538461538461,0.9166666666666666,0.91409896787871,171
PC int8,0 dB,0.9883040935672515,1.0,0.8461538461538461,0.9166666666666666,0.91409896787871,171
