mode,snr_db,acc,prec,rec,mcc,mcc_std
PC float32,-5 dB,0.9816666666666667,1.0,0.6920000000000001,0.8200116164303403,0.08844548182094258
PC float32,0 dB,0.9928571428571429,1.0,0.88,0.9337030541177543,0.04549823687587837
PC int8,-5 dB,0.9830952380952381,1.0,0.716,0.8330890381183693,0.10745519047795728
PC int8,0 dB,0.9942857142857143,1.0,0.904,0.9469418738402625,0.049398433277435726
