mode,snr_db,accuracy,precision,recall,f1,mcc,samples
PC float32,0 dB,0.9880952380952381,1.0,0.8,0.8888888888888888,0.8888194417315589,168
PC int8,0 dB,0.9880952380952381,1.0,0.8,0.8888888888888888,0.8888194417315589,168
PC float32,-5 dB,0.9702380952380952,1.0,0.5,0.6666666666666666,0.6961771158887058,168
PC int8,-5 dB,0.9642857142857143,1.0,0.4,0.5714285714285714,0.620778425574324,168
