mode,snr_db,acc,prec,rec,f1,mcc,mcc_std
PC float32,-5 dB,0.9730952380952381,0.8,0.5479999999999999,0.646470588235294,0.653682188735845,0.33935810061200467
PC float32,0 dB,0.9835714285714287,1.0,0.7240000000000001,0.8078792208823168,0.8254793728508498,0.18838549563139176
PC int8,-5 dB,0.9721428571428571,0.8,0.532,0.6341643323996266,0.6431582454753294,0.33536349030541235
PC int8,0 dB,0.9847619047619048,1.0,0.7440000000000001,0.8260855759307772,0.8414400627943334,0.16983932223691878
