mode,snr_db,accuracy,precision,recall,f1,mcc,samples
PC float32,clean,0.9821428571428571,0.7692307692307693,1.0,0.8695652173913043,0.8686916148517432,168
PC int8,clean,0.9821428571428571,0.7692307692307693,1.0,0.8695652173913043,0.8686916148517432,168
PC float32,30 dB,0.9821428571428571,0.7692307692307693,1.0,0.8695652173913043,0.8686916148517432,168
PC int8,30 dB,0.9761904761904762,0.7142857142857143,1.0,0.8333333333333334,0.8343875188697213,168
PC float32,20 dB,0.9821428571428571,0.7692307692307693,1.0,0.8695652173913043,0.8686916148517432,168
PC int8,20 dB,0.9226190476190477,0.43478260869565216,1.0,0.6060606060606061,0.6316718737457391,168
PC float32,10 dB,0.9285714285714286,0.45454545454545453,1.0,0.625,0.6480918260244637,168
PC int8,10 dB,0.8571428571428571,0.29411764705882354,1.0,0.45454545454545453,0.49944123655481965,168
PC float32,5 dB,0.9345238095238095,0.47619047619047616,1.0,0.6451612903225806,0.6656109784878435,168
PC int8,5 dB,0.875,0.3225806451612903,1.0,0.4878048780487805,0.5288723876796553,168
