mode,snr_db,accuracy,precision,recall,f1,mcc,samples
PC float32,clean,0.9940476190476191,0.9090909090909091,1.0,0.9523809523809523,0.9504405132147693,168
PC int8,clean,0.9821428571428571,0.7692307692307693,1.0,0.8695652173913043,0.8686916148517432,168
PC float32,30 dB,0.9940476190476191,0.9090909090909091,1.0,0.9523809523809523,0.9504405132147693,168
PC int8,30 dB,0.9761904761904762,0.7142857142857143,1.0,0.8333333333333334,0.8343875188697213,168
PC float32,20 dB,0.9583333333333334,0.5882352941176471,1.0,0.7407407407407407,0.7497827930696469,168
PC int8,20 dB,0.9107142857142857,0.4,1.0,0.5714285714285714,0.6016853965783915,168
PC float32,10 dB,0.8869047619047619,0.32,0.8,0.45714285714285713,0.4603103663333988,168
PC int8,10 dB,0.8214285714285714,0.23684210526315788,0.9,0.375,0.40518597921607885,168
PC float32,5 dB,0.8928571428571429,0.1,0.1,0.1,0.043037974683544304,168
PC int8,5 dB,0.8511904761904762,0.10526315789473684,0.2,0.13793103448275862,0.06903262335611456,168
