mode,snr_db,accuracy,precision,recall,f1,mcc,samples
PC float32,clean,0.9880952380952381,0.8333333333333334,1.0,0.9090909090909091,0.9070748646757787,168
PC int8,clean,0.9702380952380952,0.6666666666666666,1.0,0.8,0.8034734720282709,168
PC float32,30 dB,0.9761904761904762,0.7142857142857143,1.0,0.8333333333333334,0.8343875188697213,168
PC int8,30 dB,0.9285714285714286,0.45454545454545453,1.0,0.625,0.6480918260244637,168
PC float32,20 dB,0.9166666666666666,0.4166666666666667,1.0,0.5882352941176471,0.6162360225133208,168
PC int8,20 dB,0.8630952380952381,0.30303030303030304,1.0,0.46511627906976744,0.5088401486645687,168
PC float32,10 dB,0.8571428571428571,0.29411764705882354,1.0,0.45454545454545453,0.49944123655481965,168
PC int8,10 dB,0.8273809523809523,0.2564102564102564,1.0,0.40816326530612246,0.4575452047731519,168
PC float32,5 dB,0.875,0.3225806451612903,1.0,0.4878048780487805,0.5288723876796553,168
PC int8,5 dB,0.7976190476190477,0.22727272727272727,1.0,0.37037037037037035,0.4223339174866361,168
