mode,snr_db,accuracy,precision,recall,f1,mcc,samples
PC float32,clean,0.9880952380952381,0.8333333333333334,1.0,0.9090909090909091,0.9070748646757787,168
PC int8,clean,0.9702380952380952,0.6666666666666666,1.0,0.8,0.8034734720282709,168
PC float32,30 dB,0.9761904761904762,0.7142857142857143,1.0,0.8333333333333334,0.8343875188697213,168
PC int8,30 dB,0.9285714285714286,0.45454545454545453,1.0,0.625,0.6480918260244637,168
PC float32,20 dB,0.9226190476190477,0.43478260869565216,1.0,0.6060606060606061,0.6316718737457391,168
PC int8,20 dB,0.8690476190476191,0.3125,1.0,0.47619047619047616,0.5186398960474906,168
PC float32,10 dB,0.8690476190476191,0.3125,1.0,0.47619047619047616,0.5186398960474906,168
PC int8,10 dB,0.8333333333333334,0.2631578947368421,1.0,0.4166666666666667,0.4653195874389598,168
PC float32,5 dB,0.875,0.3225806451612903,1.0,0.4878048780487805,0.5288723876796553,168
PC int8,5 dB,0.8392857142857143,0.2702702702702703,1.0,0.425531914893617,0.4733760073535718,168
