mode,snr_db,accuracy,precision,recall,f1,mcc,samples
PC float32,clean,0.9940476190476191,0.9090909090909091,1.0,0.9523809523809523,0.9504405132147693,168
PC int8,clean,0.9821428571428571,0.7692307692307693,1.0,0.8695652173913043,0.8686916148517432,168
PC float32,30 dB,0.9940476190476191,0.9090909090909091,1.0,0.9523809523809523,0.9504405132147693,168
PC int8,30 dB,0.9821428571428571,0.7692307692307693,1.0,0.8695652173913043,0.8686916148517432,168
PC float32,20 dB,0.9583333333333334,0.5882352941176471,1.0,0.7407407407407407,0.7497827930696469,168
PC int8,20 dB,0.9047619047619048,0.38461538461538464,1.0,0.5555555555555556,0.5879345127109069,168
PC float32,10 dB,0.8988095238095238,0.36,0.9,0.5142857142857142,0.5309978814558951,168
PC int8,10 dB,0.8392857142857143,0.2571428571428571,0.9,0.4,0.4284673583233239,168
PC float32,5 dB,0.9107142857142857,0.14285714285714285,0.1,0.11764705882352941,0.07344049141145632,168
PC int8,5 dB,0.8452380952380952,0.1,0.2,0.13333333333333333,0.06288752592419448,168
