mode,snr_db,accuracy,precision,recall,f1,mcc,samples
PC float32,clean,0.9880952380952381,0.8333333333333334,1.0,0.9090909090909091,0.9070748646757787,168
PC int8,clean,0.9702380952380952,0.6666666666666666,1.0,0.8,0.8034734720282709,168
PC float32,30 dB,0.9821428571428571,0.7692307692307693,1.0,0.8695652173913043,0.8686916148517432,168
PC int8,30 dB,0.9285714285714286,0.45454545454545453,1.0,0.625,0.6480918260244637,168
PC float32,20 dB,0.9285714285714286,0.45454545454545453,1.0,0.625,0.6480918260244637,168
PC int8,20 dB,0.8630952380952381,0.30303030303030304,1.0,0.46511627906976744,0.5088401486645687,168
PC float32,10 dB,0.8869047619047619,0.3448275862068966,1.0,0.5128205128205128,0.5507821508899672,168
PC int8,10 dB,0.8273809523809523,0.2564102564102564,1.0,0.40816326530612246,0.4575452047731519,168
PC float32,5 dB,0.8988095238095238,0.37037037037037035,1.0,0.5405405405405406,0.5749090309010053,168
PC int8,5 dB,0.8392857142857143,0.2702702702702703,1.0,0.425531914893617,0.4733760073535718,168
