mode,variant,scope,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std,n_seeds
retrained-wf2 float32,clean,full,0.9941451990632318,0.0,0.9264705882352942,0.0,1.0,0.0,0.9618320610687023,0.0,0.9594864581662822,0.0,5
retrained-wf2 int8,clean,full,0.9941451990632318,0.0,0.9264705882352942,0.0,1.0,0.0,0.9618320610687023,0.0,0.9594864581662822,0.0,5
retrained-wf2 float32,noise_snr30db,full,0.9941451990632318,0.0,0.9264705882352942,0.0,1.0,0.0,0.9618320610687023,0.0,0.9594864581662822,0.0,5
retrained-wf2 int8,noise_snr30db,full,0.9941451990632318,0.0,0.9264705882352942,0.0,1.0,0.0,0.9618320610687023,0.0,0.9594864581662822,0.0,5
retrained-wf2 float32,noise_snr20db,full,0.9953161592505854,0.0014341274840651017,0.9405537921253462,0.017458326237360856,1.0,0.0,0.9693001321197887,0.009203334103393203,0.9673385335796418,0.009701794473474376,5
retrained-wf2 int8,noise_snr20db,full,0.9955503512880561,0.0015267452939584664,0.9434031815418997,0.01853563437560162,1.0,0.0,0.9708028154829371,0.009784225514557736,0.9689223214161167,0.010308091413774161,5
retrained-wf2 float32,noise_snr10db,full,0.9978922716627634,0.0005236693155737187,0.9873015873015871,0.007098628499999361,0.984126984126984,0.0,0.9857015873015872,0.0035209197359996917,0.984571262307264,0.0038203236677775737,5
retrained-wf2 int8,noise_snr10db,full,0.9983606557377049,0.0006413613085540445,0.9905257936507936,0.00864932022001323,0.9873015873015873,0.0070986284999993675,0.9888759905011874,0.004335534948593592,0.9880130886396852,0.004701856881850361,5
retrained-wf2 float32,noise_snr5db,full,0.9953161592505854,0.000827993888977236,1.0,0.0,0.9365079365079365,0.011223917161691226,0.9671853572620538,0.005986511469998595,0.9652842027657895,0.00621397169380113,5
retrained-wf2 int8,noise_snr5db,full,0.9941451990632318,0.0018514506207074812,1.0,0.0,0.9206349206349206,0.025097441747368117,0.9585354054780616,0.013611044213009314,0.9564193669832433,0.013988915586198547,5
retrained-wf2 float32,clean,test,0.9941520467836258,0.0,0.9285714285714286,0.0,1.0,0.0,0.962962962962963,0.0,0.9605698278695733,0.0,5
retrained-wf2 int8,clean,test,0.9941520467836258,0.0,0.9285714285714286,0.0,1.0,0.0,0.962962962962963,0.0,0.9605698278695733,0.0,5
retrained-wf2 float32,noise_snr30db,test,0.9941520467836258,0.0,0.9285714285714286,0.0,1.0,0.0,0.962962962962963,0.0,0.9605698278695733,0.0,5
retrained-wf2 int8,noise_snr30db,test,0.9941520467836258,0.0,0.9285714285714286,0.0,1.0,0.0,0.962962962962963,0.0,0.9605698278695733,0.0,5
retrained-wf2 float32,noise_snr20db,test,0.9941520467836258,0.0,0.9285714285714286,0.0,1.0,0.0,0.962962962962963,0.0,0.9605698278695733,0.0,5
retrained-wf2 int8,noise_snr20db,test,0.9941520467836258,0.0,0.9285714285714286,0.0,1.0,0.0,0.962962962962963,0.0,0.9605698278695733,0.0,5
retrained-wf2 float32,noise_snr10db,test,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5
retrained-wf2 int8,noise_snr10db,test,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5
retrained-wf2 float32,noise_snr5db,test,0.9953216374269005,0.004892748693181698,1.0,0.0,0.9384615384615385,0.06435846357954426,0.9673333333333334,0.03467307633052225,0.965916942160786,0.035854019947552135,5
retrained-wf2 int8,noise_snr5db,test,0.9953216374269005,0.004892748693181698,1.0,0.0,0.9384615384615385,0.06435846357954426,0.9673333333333334,0.03467307633052225,0.965916942160786,0.035854019947552135,5
